Prompt,Query
Find the salary amounts and dates for all employees.,"SELECT s.salary_amount, s.salary_date FROM employee_salaries s;"
Get the roles and salaries of employees with role ID 2.,"SELECT r.role_name, r.salary FROM employee_roles r WHERE r.role_id = 2;"
Retrieve the details of roles with salaries greater than 65357.,"SELECT role_name, salary FROM employee_roles WHERE salary > 65357;"
List the organizations and their addresses.,"SELECT organization_name, organization_address FROM organizations;"
Retrieve the full names and project names of employees who worked on projects.,"SELECT e.full_name, p.project_name FROM employees e JOIN employee_projects p ON e.employee_id = p.employee_id;"
List the organizations and their addresses.,"SELECT organization_name, organization_address FROM organizations;"
Retrieve the details of roles with salaries greater than 92918.,"SELECT role_name, salary FROM employee_roles WHERE salary > 92918;"
Retrieve the full names and project names of employees who worked on projects.,"SELECT e.full_name, p.project_name FROM employees e JOIN employee_projects p ON e.employee_id = p.employee_id;"
Get the start and end dates of projects for employee with ID 2.,"SELECT p.start_date, p.end_date FROM employee_projects p WHERE p.employee_id = 2;"
Find the salary amounts and dates for all employees.,"SELECT s.salary_amount, s.salary_date FROM employee_salaries s;"
Retrieve the full names and project names of employees who worked on projects.,"SELECT e.full_name, p.project_name FROM employees e JOIN employee_projects p ON e.employee_id = p.employee_id;"
Retrieve the full names and project names of employees who worked on projects.,"SELECT e.full_name, p.project_name FROM employees e JOIN employee_projects p ON e.employee_id = p.employee_id;"
Get the roles and salaries of employees with role ID 1.,"SELECT r.role_name, r.salary FROM employee_roles r WHERE r.role_id = 1;"
Get the start and end dates of projects for employee with ID 1.,"SELECT p.start_date, p.end_date FROM employee_projects p WHERE p.employee_id = 1;"
List the organizations and their addresses.,"SELECT organization_name, organization_address FROM organizations;"
List the organizations and their addresses.,"SELECT organization_name, organization_address FROM organizations;"
Retrieve the full names and project names of employees who worked on projects.,"SELECT e.full_name, p.project_name FROM employees e JOIN employee_projects p ON e.employee_id = p.employee_id;"
List the full names of employees and their respective organization names.,"SELECT e.full_name, o.organization_name FROM employees e JOIN organizations o ON e.organization_id = o.organization_id;"
Find the salary amounts and dates for all employees.,"SELECT s.salary_amount, s.salary_date FROM employee_salaries s;"
Find the phone numbers and hire dates of employees in organization with ID 2.,"SELECT phone_number, hire_date FROM employees WHERE organization_id = 2;"
Find the salary amounts and dates for all employees.,"SELECT s.salary_amount, s.salary_date FROM employee_salaries s;"
List the full names of employees and their respective organization names.,"SELECT e.full_name, o.organization_name FROM employees e JOIN organizations o ON e.organization_id = o.organization_id;"
List the organizations and their addresses.,"SELECT organization_name, organization_address FROM organizations;"
List the full names of employees and their respective organization names.,"SELECT e.full_name, o.organization_name FROM employees e JOIN organizations o ON e.organization_id = o.organization_id;"
Find the salary amounts and dates for all employees.,"SELECT s.salary_amount, s.salary_date FROM employee_salaries s;"
List the full names of employees and their respective organization names.,"SELECT e.full_name, o.organization_name FROM employees e JOIN organizations o ON e.organization_id = o.organization_id;"
Find the employees who were hired after 2023-07-24.,"SELECT full_name FROM employees WHERE hire_date > ""2023-07-24"";"
Find the employees who were hired after 2023-12-28.,"SELECT full_name FROM employees WHERE hire_date > ""2023-12-28"";"
Get the roles and salaries of employees with role ID 2.,"SELECT r.role_name, r.salary FROM employee_roles r WHERE r.role_id = 2;"
Retrieve the details of roles with salaries greater than 55389.,"SELECT role_name, salary FROM employee_roles WHERE salary > 55389;"
List the organizations and their addresses.,"SELECT organization_name, organization_address FROM organizations;"
List the full names of employees and their respective organization names.,"SELECT e.full_name, o.organization_name FROM employees e JOIN organizations o ON e.organization_id = o.organization_id;"
Get the roles and salaries of employees with role ID 1.,"SELECT r.role_name, r.salary FROM employee_roles r WHERE r.role_id = 1;"
List the full names of employees and their respective organization names.,"SELECT e.full_name, o.organization_name FROM employees e JOIN organizations o ON e.organization_id = o.organization_id;"
Find the salary amounts and dates for all employees.,"SELECT s.salary_amount, s.salary_date FROM employee_salaries s;"
Find the phone numbers and hire dates of employees in organization with ID 1.,"SELECT phone_number, hire_date FROM employees WHERE organization_id = 1;"
Find the employees who were hired after 2024-03-20.,"SELECT full_name FROM employees WHERE hire_date > ""2024-03-20"";"
Get the roles and salaries of employees with role ID 1.,"SELECT r.role_name, r.salary FROM employee_roles r WHERE r.role_id = 1;"
Find the phone numbers and hire dates of employees in organization with ID 1.,"SELECT phone_number, hire_date FROM employees WHERE organization_id = 1;"
Get the start and end dates of projects for employee with ID 1.,"SELECT p.start_date, p.end_date FROM employee_projects p WHERE p.employee_id = 1;"
Find the salary amounts and dates for all employees.,"SELECT s.salary_amount, s.salary_date FROM employee_salaries s;"
Find the salary amounts and dates for all employees.,"SELECT s.salary_amount, s.salary_date FROM employee_salaries s;"
Retrieve the full names and project names of employees who worked on projects.,"SELECT e.full_name, p.project_name FROM employees e JOIN employee_projects p ON e.employee_id = p.employee_id;"
Find the employees who were hired after 2022-05-15.,"SELECT full_name FROM employees WHERE hire_date > ""2022-05-15"";"
Find the phone numbers and hire dates of employees in organization with ID 1.,"SELECT phone_number, hire_date FROM employees WHERE organization_id = 1;"
Retrieve the full names and project names of employees who worked on projects.,"SELECT e.full_name, p.project_name FROM employees e JOIN employee_projects p ON e.employee_id = p.employee_id;"
List the full names of employees and their respective organization names.,"SELECT e.full_name, o.organization_name FROM employees e JOIN organizations o ON e.organization_id = o.organization_id;"
Get the start and end dates of projects for employee with ID 2.,"SELECT p.start_date, p.end_date FROM employee_projects p WHERE p.employee_id = 2;"
Find the salary amounts and dates for all employees.,"SELECT s.salary_amount, s.salary_date FROM employee_salaries s;"
Retrieve the full names and project names of employees who worked on projects.,"SELECT e.full_name, p.project_name FROM employees e JOIN employee_projects p ON e.employee_id = p.employee_id;"
List the organizations and their addresses.,"SELECT organization_name, organization_address FROM organizations;"
Get the start and end dates of projects for employee with ID 3.,"SELECT p.start_date, p.end_date FROM employee_projects p WHERE p.employee_id = 3;"
Find the employees who were hired after 2024-02-13.,"SELECT full_name FROM employees WHERE hire_date > ""2024-02-13"";"
Find the employees who were hired after 2024-05-15.,"SELECT full_name FROM employees WHERE hire_date > ""2024-05-15"";"
